primary_institution_normalized,top50_canonical_institution,matched_paper_count
Technical University of Munich,Technical University of Munich,353
Tsinghua University,Tsinghua University,316
ETH Zurich,ETH Zurich – Swiss Federal Institute of Technology,312
Carnegie Mellon University,Carnegie Mellon University,300
University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,265
Delft University of Technology,Delft University of Technology,255
KTH Royal Institute of Technology,KTH Royal Institute of Technology,255
Georgia Institute of Technology,Georgia Institute of Technology,250
Massachusetts Institute of Technology,Massachusetts Institute of Technology,249
Peking University,Peking University,239
The University of Texas at Austin,The University of Texas at Austin,227
Shanghai Jiao Tong University,Shanghai Jiao Tong University,226
The University of Tokyo,The University of Tokyo,224
National University of Singapore,National University of Singapore,217
"University of California, Berkeley","University of California, Berkeley",216
Imperial College London,Imperial College London,214
University of Oxford,University of Oxford,210
Cornell University,Cornell University,201
École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,199
Hong Kong University of Science and Technology,The Hong Kong University of Science and Technology,195
Stanford University,Stanford University,194
University of Toronto,University of Toronto,177
University of Washington,University of Washington,175
Politecnico di Milano,Politecnico di Milano,173
Nanyang Technological University,"Nanyang Technological University, Singapore",170
University of Cambridge,University of Cambridge,168
University College London,University College London,166
University of Waterloo,University of Waterloo,159
UNSW Sydney,The University of New South Wales Sydney,156
Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science & Technology,155
Chinese University of Hong Kong,The Chinese University of Hong Kong,150
Princeton University,Princeton University,132
"University of Maryland, College Park","University of Maryland, College Park",128
California Institute of Technology,California Institute of Technology,127
Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,125
New York University,New York University,125
University of Edinburgh,The University of Edinburgh,118
University of California San Diego,"University of California, San Diego",117
"University of California, Los Angeles","University of California, Los Angeles",100
Columbia University,Columbia University,99
Seoul National University,Seoul National University,98
University of Hong Kong,The University of Hong Kong,96
University of British Columbia,University of British Columbia,88
Hong Kong Polytechnic University,The Hong Kong Polytechnic University,88
The University of Melbourne,The University of Melbourne,73
University of Pennsylvania,University of Pennsylvania,71
Yale University,Yale University,59
University of Amsterdam,University of Amsterdam,59
Harvard University,Harvard University,49
University of Michigan–Ann Arbor,University of Michigan-Ann Arbor,18
"University of California, San Diego","University of California, San Diego",13
University of Melbourne,The University of Melbourne,4
